id,categoria,nome,desc,preco,imagem,,
36,cervejas,Chopp Caneca 300ml,Chopp Pilsen Palazzo,3.40,https://drive.google.com/file/d/1ZS021C_dJKbjRhsa7mK6ZYzoJc-DjKxz/view?usp=drive_link,,
37,cervejas,Stella Pure Gold,Sem glúten,9.90,https://drive.google.com/file/d/1c6EpwVhLhwAHUihJqNTZPRnVkj3LQ648/view?usp=drive_link,,
38,cervejas,Império Lager 600,Garrafa 600ml,9.90,https://drive.google.com/file/d/1NypcSwaKsnr1iq_Yp4SiB7bJ0B8wKoUT/view?usp=drive_link,,
39,cervejas,Antarctica 600ml,Garrafa 600ml,10.90,https://drive.google.com/file/d/1fJ8rwPm2xIMsHAUNOnY4M-UTJfD0SHXe/view?usp=drive_link,,
40,cervejas,Original,Garrafa 600ml,12.90,https://drive.google.com/file/d/1d6ZsABx_kogqF10fhY6992TziJ1wBSqF/view?usp=drive_link,,
41,cervejas,Heineken,Garrafa 600ml,15.90,https://drive.google.com/file/d/17kxDJeq_ZSEGVp5L1TulhA5fT2dxnU5Y/view?usp=drive_link,,
42,cervejas,Stella 600ml,Garrafa 600ml,12.90,https://drive.google.com/file/d/1SUWoEUoI74yitPfcv2HkBH6PuDpWvvpE/view?usp=drive_link,,
43,cervejas,Brahma,Garrafa 600ml,10.90,https://drive.google.com/file/d/1tYCy4IdGV10SFrUjREuISUXGkG4h7bEb/view?usp=drive_link,,
44,cervejas,Spaten 600ml,Garrafa 600ml,12.90,https://drive.google.com/file/d/1rhGnJtu-YTC-0J0-VZ31uyn4nWFjFp8y/view?usp=drive_link,,
45,cervejas,Corona Long Neck,Garrafa long neck,10.90,https://drive.google.com/file/d/1BCS30nwEy26aXBEmMxCwh5kXXdJf7UnX/view?usp=drive_link,,
46,drinks,Caipirinha de Limão com Abacaxi,Frutas frescas,19.90,https://drive.google.com/file/d/1ge4N9roJ2nOTsJ4OlqDrMV2mZeDM6GJs/view?usp=drive_link,,
47,drinks,Caipirinha de Abacaxi,Cachaça ou vodka,19.90,https://drive.google.com/file/d/1ge4N9roJ2nOTsJ4OlqDrMV2mZeDM6GJs/view?usp=drive_link,,
48,drinks,Caipirinha de Morango,Frutas frescas,19.90,https://drive.google.com/file/d/1ge4N9roJ2nOTsJ4OlqDrMV2mZeDM6GJs/view?usp=drive_link,,
49,drinks,Caipirinha de Kiwi,Frutas frescas,19.90,https://drive.google.com/file/d/1ge4N9roJ2nOTsJ4OlqDrMV2mZeDM6GJs/view?usp=drive_link,,
50,drinks,Lagoa Azul,"Curaçao Blue, vodka e H2O Limoneto",24.90,https://drive.google.com/file/d/18U4aHAnuhseqB2W_ySUVGBJeOlIluSmH/view?usp=drive_link,,
51,drinks,Gin,Gin Beefeater,24.90,https://drive.google.com/file/d/1vWPyfqOwrz_ahWn2lAx397hTB5eOjU1C/view?usp=drive_link,,
52,drinks,Campari Dose,Dose com Gelo,12.90,https://drive.google.com/file/d/18Twac2lgfOuqCajm_v4JB8I6XSr-h6v2/view?usp=drive_link,,
53,drinks,Campari com Laranja,Campari com suco natural,24.90,https://drive.google.com/file/d/1jIKKlJJJTN6VlCvk1PDNCgVmCAaZo_m-/view?usp=drive_link,,
54,drinks,Dose Nelson,Dose especial da casa,7.00,https://drive.google.com/file/d/1nhfhGlQb5mG7rUGNRLT5X1ayIgCxnlRI/view?usp=drive_link,,
55,drinks,Dose,Dose Velho Barreiro,4.99,https://drive.google.com/file/d/1nhfhGlQb5mG7rUGNRLT5X1ayIgCxnlRI/view?usp=drive_link,,
56,drinks,Dose Red Label,Whisky escocês,12.90,https://drive.google.com/file/d/1d4nEOwcubmMDHn7aazb-wARIVkrqc-Q8/view?usp=drive_link,,
57,bebidas,Coca Cola Lata,Lata 350ml,6.50,https://drive.google.com/file/d/1fIa77nK8VejMXioZW290N3WErjMFl6Tg/view?usp=drive_link,,
